"All","Alle",module,Magento/AdminGws
"None","Ingen",module,Magento/AdminGws
"Allowed Scopes","Tilladte Scopes",module,Magento/AdminGws
"You need more permissions to delete this item(s): %1.","Du mangler rettigheder for at, kunne slette produkt(erne): %1.",module,Magento/AdminGws
"You need more permissions to apply some of the rule updates.","Du har ikke tilladelse til at opdaterer reglen.",module,Magento/AdminGws
"Please assign this entity to a store view.","Tildel denne enhed til en forretnings visning.",module,Magento/AdminGws
"You can create orders only in an active store.","Du kan kun oprette ordrer i en aktiv forretning.",module,Magento/AdminGws
"Please assign this item to a store view.","Venligst tildel produktet til en forretnings visning.",module,Magento/AdminGws
"You need more permissions to save this item.","Du har ikke rettigheder til at gemme dette produkt.",module,Magento/AdminGws
"You need more permissions to delete this item.","Du har ikke rettigheder til at slette dette produkt.",module,Magento/AdminGws
"You need more permissions to view this item.","Du har ikke rettigheder til at vise dette produkt.",module,Magento/AdminGws
"Please specify at least one website or one store group.","Vælg venligst et website eller forretnings gruppe.",module,Magento/AdminGws
"You need more permissions to set All Scopes to a Role.","Du har ikke rettigheder til at give adgang til alle forretnings visninger for rollen.",module,Magento/AdminGws
"Incorrect website ID: %1","Forkert website ID: %1",module,Magento/AdminGws
"You need more permissions to access website ""%1"".","Du har ikke rettigheder til at tilgå website ""%1"".",module,Magento/AdminGws
"Incorrect store ID: %1","Forkert forretnings ID: %1",module,Magento/AdminGws
"You need more permissions to save this setting.","Du har ikke rettigheder til at gemme ændringen.",module,Magento/AdminGws
"Role Scopes","Forretningsvisnings roller",module,Magento/AdminGws
"Custom","Brugerdefineret",module,Magento/AdminGws
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view",module,Magento/AdminGws
"More permissions are needed to delete the ""%1"" item.","More permissions are needed to delete the ""%1"" item.",module,Magento/AdminGws
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","This entity needs to be assigned to a store view. Verify the entity assignment and try again.",module,Magento/AdminGws
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again.",module,Magento/AdminGws
"This item needs to be assigned to a store view. Assign item and try again.","This item needs to be assigned to a store view. Assign item and try again.",module,Magento/AdminGws
"More permissions are needed to save this item.","More permissions are needed to save this item.",module,Magento/AdminGws
"More permissions are needed to delete this item.","More permissions are needed to delete this item.",module,Magento/AdminGws
"More permissions are needed to view this item.","More permissions are needed to view this item.",module,Magento/AdminGws
"At least one website or store group needs to be selected. Select and try again.","At least one website or store group needs to be selected. Select and try again.",module,Magento/AdminGws
"More permissions are needed to set All Scopes to a Role.","More permissions are needed to set All Scopes to a Role.",module,Magento/AdminGws
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","The ""%1"" website ID is incorrect. Verify the website ID and try again.",module,Magento/AdminGws
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","The ""%1"" store ID is incorrect. Verify the store ID and try again.",module,Magento/AdminGws
"More permissions are needed to save this setting.","More permissions are needed to save this setting.",module,Magento/AdminGws
"Read Details","Læs detaljer",module,Magento/AdminNotification
"Mark as Read","Marker som læst",module,Magento/AdminNotification
"Are you sure?","Er du sikker?",module,Magento/AdminNotification
"Remove","Fjern",module,Magento/AdminNotification
"Messages Inbox","Indbakke",module,Magento/AdminNotification
"You have %1 new system messages","Du har %1 nye systembeskeder",module,Magento/AdminNotification
"You have %1 new system message","Du har %1 ny systembesked",module,Magento/AdminNotification
"Incoming Message","Beskeder",module,Magento/AdminNotification
"close","luk",module,Magento/AdminNotification
"Notifications","Meddelelser",module,Magento/AdminNotification
"The message has been marked as Read.","Meddelelsen er markeret som læst.",module,Magento/AdminNotification
"We couldn't mark the notification as Read because of an error.","Vi kunne ikke markerer beskeden som læst.",module,Magento/AdminNotification
"Please select messages.","Vælg beskeder.",module,Magento/AdminNotification
"A total of %1 record(s) have been marked as Read.","%1 besked(er) er nu markeret som læst.",module,Magento/AdminNotification
"Total of %1 record(s) have been removed.","%1 besked(er) er blevet slettet.",module,Magento/AdminNotification
"We couldn't remove the messages because of an error.","Vi kunne ikke slette bedskederne på grund af en fejl.",module,Magento/AdminNotification
"The message has been removed.","Beskeden er blevet slettet.",module,Magento/AdminNotification
"1 Hour","1 time",module,Magento/AdminNotification
"2 Hours","2 timer",module,Magento/AdminNotification
"6 Hours","6 timer",module,Magento/AdminNotification
"12 Hours","12 timer",module,Magento/AdminNotification
"24 Hours","24 timer",module,Magento/AdminNotification
"critical","kritisk",module,Magento/AdminNotification
"major","alvorlig",module,Magento/AdminNotification
"minor","mindre",module,Magento/AdminNotification
"notice","info",module,Magento/AdminNotification
"Wrong message type","Forkert beskedtype",module,Magento/AdminNotification
"Wrong notification ID specified.","Forkert besked ID angivet.",module,Magento/AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","Vi anbefaler ikke at bruge {{base_url}} i et produktionsmiljø. Du kan ændre denne værdi i din Magento <a href=""%1"">konfiguration</a>.",module,Magento/AdminNotification
"One or more of the Cache Types are invalidated: %1. ","En eller flere cachetyper er forældede: %1. ",module,Magento/AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Klik her for at gå til<a href=""%1""> Cachestyring</a> og forny cachen.",module,Magento/AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Vi var ikke i stand til at synkronisere en eller flere mediefiler. Se venligst detaljer i logfilen.",module,Magento/AdminNotification
"Synchronization of media storages has been completed.","Synkronisering af mediebiblioteket er fuldført.",module,Magento/AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Webserveren er konfigureret forkert og giver uautoriseret adgang til følsomme filer. Kontakt din hosting udbyder.",module,Magento/AdminNotification
"System Messages:","Systembeskeder:",module,Magento/AdminNotification
"Critical System Messages","Kritiske systembeskeder",module,Magento/AdminNotification
"Major System Messages","Alvorlige systembeskeder",module,Magento/AdminNotification
"System messages","Systembeskeder",module,Magento/AdminNotification
"Close","Luk",module,Magento/AdminNotification
"See All (","Vis alle (",module,Magento/AdminNotification
" unread)"," ulæst)",module,Magento/AdminNotification
"Show Toolbar","Vis værktøjslinje",module,Magento/AdminNotification
"Show List","Vis liste",module,Magento/AdminNotification
"Use HTTPS to Get Feed","Brug HTTPS for at hente et feed",module,Magento/AdminNotification
"Update Frequency","Opdater frekvens",module,Magento/AdminNotification
"Last Update","Sidst opdateret",module,Magento/AdminNotification
"Severity","Alvorlighed",module,Magento/AdminNotification
"Date Added","Dato tilføjet",module,Magento/AdminNotification
"Message","Besked",module,Magento/AdminNotification
"Actions","Handlinger",module,Magento/AdminNotification
"Close popup","Luk vindue",module,Magento/AdminNotification
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Du har set og løst alle de seneste system notifikationer. Opdater venligst webside for at rydde notifikation advarselen.",module,Magento/AdminNotification
"Manage Shopping Cart","Administrer indkøbskurv",module,Magento/AdvancedCheckout
"Create Order","Opret ordre",module,Magento/AdvancedCheckout
"Back","Tilbage",module,Magento/AdvancedCheckout
"Add Products","Tilføj produkter",module,Magento/AdvancedCheckout
"Update Items and Quantities","Opdater varer og antal",module,Magento/AdvancedCheckout
"Are you sure you want to clear your cart?","Er du sikker på du vil tømme din kurv?",module,Magento/AdvancedCheckout
"Clear my shopping cart","Tøm min kurv",module,Magento/AdvancedCheckout
"Add selections to my cart","Tilføj til min kurv",module,Magento/AdvancedCheckout
"Cancel","Annuller",module,Magento/AdvancedCheckout
"Shopping Cart for %1 in %2","Indkøbskurv for %1 i %2",module,Magento/AdvancedCheckout
"Select products you want to buy","Vælg produkter du ønsker at købe",module,Magento/AdvancedCheckout
"Product","Produkt",module,Magento/AdvancedCheckout
"Price","Pris",module,Magento/AdvancedCheckout
"Quantity","Antal",module,Magento/AdvancedCheckout
"Products in the Comparison List (%1)","Produkter på sammenlignings listen (%1)",module,Magento/AdvancedCheckout
"Last ordered items (%1)","Sidste bestilte varer (%1)",module,Magento/AdvancedCheckout
"Products","Produkter",module,Magento/AdvancedCheckout
"ID","ID",module,Magento/AdvancedCheckout
"SKU","Varenummer",module,Magento/AdvancedCheckout
"Recently Compared Products (%1)","Nyligt sammenlignede produkter (%1)",module,Magento/AdvancedCheckout
"Recently Viewed Products (%1)","Nyligt viste produkter (%1)",module,Magento/AdvancedCheckout
"Add to Shopping Cart by SKU","Tilføj til indkøbskurv ved SKU",module,Magento/AdvancedCheckout
"Add to Shopping Cart","Tilføj til indkøbskurv",module,Magento/AdvancedCheckout
"Wish List (%1)","Ønskeliste (%1)",module,Magento/AdvancedCheckout
"Apply","Anvend",module,Magento/AdvancedCheckout
"Configure","Konfigurer",module,Magento/AdvancedCheckout
"Add to Order by SKU","Føj til ordren med SKU",module,Magento/AdvancedCheckout
"Add to Order","Tilføj til ordre",module,Magento/AdvancedCheckout
"Add Products to Order","Tilføj produkter til ordre",module,Magento/AdvancedCheckout
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produkt(er) kræver opmærksomhed.</span>",module,Magento/AdvancedCheckout
"Remove All","Fjern alle",module,Magento/AdvancedCheckout
"Only %1%2%3 left in stock","Kun %1%2%3 tilbage på lager",module,Magento/AdvancedCheckout
"You can buy up to %1 of these per purchase.","Du kan købe til %1 af disse pr. køb.",module,Magento/AdvancedCheckout
"You must buy at least %1 of these per purchase.","Du skal købe mindst %1 af disse pr. køb.",module,Magento/AdvancedCheckout
"Specify the product's options.","Angiv produktets muligheder.",module,Magento/AdvancedCheckout
"Alert me when this item is available.","Giv mig besked, når varen er tilgængelig.",module,Magento/AdvancedCheckout
"We can't find this customer.","Vi kan ikke finde denne kunde.",module,Magento/AdvancedCheckout
"Shopping cart management is disabled for this customer.","Shopping cart management er deaktiveret for denne kunde.",module,Magento/AdvancedCheckout
"We can't find this store.","Vi kan ikke finde denne butik.",module,Magento/AdvancedCheckout
"Customers","Kunder",module,Magento/AdvancedCheckout
"Shopping Cart","Indkøbskurv",module,Magento/AdvancedCheckout
"Sorry, something went wrong. You can find out more in the error log.","Desværre, gik noget galt. Du kan finde flere oplysninger i fejlloggen.",module,Magento/AdvancedCheckout
"You do not have access to this.","Du har ikke adgang til dette.",module,Magento/AdvancedCheckout
"Ordered item id is not received.","Bestilte vare-id ikke er modtaget.",module,Magento/AdvancedCheckout
"Ordered item is not loaded.","Bestilte vare ikke er indlæst.",module,Magento/AdvancedCheckout
"Quote item id is not received.","Reference id'et ikke er modtaget.",module,Magento/AdvancedCheckout
"Quote item is not loaded.","Reference element ikke indlæst.",module,Magento/AdvancedCheckout
"The wish list item id is not received.","Ønskeliste id'et er ikke modtaget.",module,Magento/AdvancedCheckout
"The wish list item is not loaded.","Ønskeliste er ikke indlæst.",module,Magento/AdvancedCheckout
"An error has occurred. See error log for details.","Der opstod en fejl. Se fejlloggen for detaljer.",module,Magento/AdvancedCheckout
